AtomNum,Elem,Active,Sweeps,EVstep,Lower,Upper,Range,Lowpeak,Peak,Hipeak,Back1,Back2,,
14,Si2L,Y,1,1,1576,1590,14,1576,1583,1583,1576,1590,7,7
14,Si2,Y,10,1,1602,1616,14,1602,1609,1609,1602,1616,,
14,Si2H,Y,1,1,1623,1637,14,1623,1630,1630,1623,1637,,
12,Mg2L,Y,1,1,1152,1166,14,1152,1159,1159,1152,1166,,
12,Mg2,Y,4,1,1175,1189,14,1175,1182,1182,1175,1189,,
12,Mg2H,Y,1,1,1193,1207,14,1193,1200,1200,1193,1207,,
8,OL,Y,1,1,494,508,14,494,501,501,494,508,,
8,O,Y,1,1,503,517,14,503,510,510,503,517,,
8,OH,Y,1,1,527,541,14,527,534,534,527,541,,
16,SL,Y,1,1,128,142,14,128,135,135,128,142,,
16,S,Y,5,1,143,157,14,143,150,150,143,157,,
16,SH,Y,1,1,155,169,14,155,162,162,155,169,,
26,Fe3L,Y,1,1,669,683,14,669,676,676,669,683,,
26,Fe3,Y,10,1,695,709,14,695,702,702,695,709,,
26,Fe3H,Y,1,1,717,731,14,717,724,724,717,731,,
20,Ca1L,Y,2,1,271,285,14,271,278,278,271,285,,
20,Ca1,Y,5,1,284,298,14,284,291,291,284,298,,
20,Ca1H,Y,2,1,300,314,14,300,307,307,300,314,,
